task_id,ngo_type,required_skills,urgency_level,duration_hours,latitude,longitude,difficulty_level,requires_background_check,flexible_timing,ngo_reputation_score
T0001,environment,"coding,translation,event_planning",4,8,12.8345,77.3961,2,0,0,4.6
T0002,healthcare,"fundraising,counseling,translation,legal_advice",4,6,13.0865,77.4697,5,0,1,3.7
T0003,elderly_care,social_media,2,4,12.871,77.8096,1,1,1,4.1
T0004,women_empowerment,"mentoring,coding,gardening",5,20,12.7229,77.5478,2,0,0,4.3
T0005,education,"coding,public_speaking,counseling",2,4,13.1008,77.6834,5,1,1,4.7
T0006,healthcare,"data_entry,graphic_design,event_planning,photography",2,8,13.0053,77.6439,4,0,0,4.7
T0007,disaster_relief,translation,2,10,12.8635,77.7469,5,1,0,4.6
T0008,women_empowerment,event_planning,2,6,13.0116,77.8227,2,0,0,5.0
T0009,education,"event_planning,fundraising,teaching,translation",1,20,12.9721,77.5831,5,0,1,3.7
T0010,women_empowerment,"mentoring,fundraising,coding",1,10,12.8707,77.4174,2,0,1,3.5
T0011,women_empowerment,"public_speaking,counseling",5,10,12.8332,77.7797,5,0,0,4.7
T0012,environment,cooking,3,20,12.9823,77.6453,5,0,0,4.9
T0013,animal_welfare,"counseling,graphic_design,community_outreach,event_planning",4,4,13.012,77.6816,5,0,1,3.7
T0014,child_welfare,"event_planning,community_outreach,construction",3,10,12.8386,77.578,1,0,1,4.2
T0015,women_empowerment,"coding,community_outreach,construction,gardening",4,20,12.9882,77.7034,1,1,1,3.8
T0016,healthcare,"event_planning,medical_assistance,community_outreach,fundraising",5,15,13.0497,77.6673,2,0,1,5.0
T0017,child_welfare,"photography,medical_assistance,event_planning",4,20,12.9839,77.7087,5,1,1,4.0
T0018,disaster_relief,"translation,cooking,public_speaking,social_media",3,8,12.9749,77.5656,2,0,0,3.6
T0019,animal_welfare,fundraising,2,10,12.9644,77.5947,3,0,1,4.4
T0020,disaster_relief,fundraising,4,4,12.8971,77.4754,3,1,1,4.3
T0021,healthcare,"gardening,construction,teaching",4,8,12.9798,77.5921,4,1,1,4.2
T0022,environment,mentoring,3,8,13.0506,77.7543,4,0,1,4.6
T0023,animal_welfare,"event_planning,translation,gardening,cooking",1,6,12.9325,77.5785,4,1,1,4.6
T0024,elderly_care,"data_entry,mentoring,teaching",3,20,12.9424,77.5759,5,0,1,4.1
T0025,child_welfare,"counseling,construction,legal_advice,gardening",2,10,13.0335,77.6175,1,0,1,3.7
T0026,animal_welfare,"teaching,gardening",4,6,12.9143,77.7052,1,1,0,5.0
T0027,elderly_care,"construction,medical_assistance,data_entry,event_planning",2,8,12.9813,77.5694,5,1,0,4.4
T0028,women_empowerment,"legal_advice,photography,translation",1,6,12.798,77.3966,3,0,1,5.0
T0029,disaster_relief,"writing,fundraising,event_planning,data_entry",5,8,12.9492,77.746,2,1,0,4.5
T0030,animal_welfare,"cooking,coding,legal_advice",4,6,12.9278,77.5221,5,1,0,4.8
T0031,child_welfare,"construction,translation",4,15,13.0316,77.8476,5,1,0,4.3
T0032,animal_welfare,"community_outreach,social_media,writing",3,8,13.08,77.7448,3,0,0,4.8
T0033,healthcare,"coding,graphic_design,public_speaking",2,4,12.9469,77.5357,2,0,0,4.7
T0034,environment,"community_outreach,translation,legal_advice",2,6,12.7556,77.7098,2,0,1,4.7
T0035,education,"gardening,graphic_design,mentoring",1,20,13.0995,77.565,1,1,1,4.8
T0036,healthcare,"counseling,fundraising,medical_assistance,social_media",5,10,12.9851,77.7483,5,1,1,4.8
T0037,women_empowerment,"event_planning,data_entry",4,8,12.8961,77.7333,2,0,0,3.8
T0038,elderly_care,"community_outreach,legal_advice,public_speaking",5,15,12.9814,77.5831,1,1,1,4.2
T0039,education,"public_speaking,social_media",3,15,12.8455,77.7413,5,0,0,4.5
T0040,healthcare,"public_speaking,gardening",3,10,12.8423,77.7091,2,1,1,3.5
T0041,disaster_relief,"public_speaking,coding,fundraising,writing",2,15,12.9034,77.8166,3,1,0,3.9
T0042,animal_welfare,translation,3,20,12.8618,77.6148,1,0,1,4.3
T0043,environment,"legal_advice,gardening,data_entry",1,15,12.9645,77.5967,4,0,0,4.1
T0044,animal_welfare,"data_entry,fundraising,event_planning",2,20,13.048,77.7114,3,1,1,4.8
T0045,women_empowerment,"public_speaking,graphic_design",3,2,12.886,77.3882,4,1,0,4.1
T0046,healthcare,"construction,writing,teaching,cooking",2,8,13.1265,77.5134,2,1,0,3.6
T0047,animal_welfare,"public_speaking,social_media,fundraising,counseling",1,20,13.0454,77.729,4,1,0,3.8
T0048,animal_welfare,"photography,public_speaking",2,20,12.94,77.7244,2,0,1,4.6
T0049,child_welfare,"legal_advice,graphic_design",3,4,12.9385,77.616,5,1,0,4.1
T0050,women_empowerment,"fundraising,teaching,translation,social_media",4,15,13.1536,77.4043,4,1,1,3.6
T0051,education,mentoring,3,2,12.94,77.6497,3,1,1,5.0
T0052,disaster_relief,"social_media,gardening,mentoring",5,6,12.9101,77.5605,4,0,0,4.0
