match_id,volunteer_id,task_id,skill_match_ratio,willingness_score,availability_hours,distance_km,distance_score,fairness_score,urgency_level,urgency_score,time_compatibility,volunteer_reliability,reliability_score,task_difficulty,ngo_reputation,volunteer_aicte_points,volunteer_aicte_norm,task_points_opportunity,task_points_possible,task_points_norm,match_score,match_success
M00001,V0022,T0108,0.0,0.85,10,31.8,0.364,0.64,5,1.0,0.5,0.6,0.6,2,4.1,302.4,0.302,45.0,45.0,0.225,0.421,0
M00002,V0143,T0295,0.0,0.83,5,21.75,0.565,0.58,4,0.8,0.5,0.88,0.88,2,3.5,395.4,0.395,40.0,40.0,0.2,0.477,0
M00003,V0161,T0051,0.0,0.7,30,24.18,0.516,0.14,3,0.6,1.0,0.74,0.74,3,3.8,168.8,0.169,12.0,12.0,0.06,0.376,0
M00004,V0085,T0061,0.0,0.55,10,9.85,0.803,0.4,4,0.8,1.0,0.55,0.55,2,4.4,33.6,0.034,6.0,6.0,0.03,0.43,0
M00005,V0250,T0225,0.0,0.41,15,24.81,0.504,0.62,4,0.8,1.0,0.64,0.64,2,4.6,356.4,0.356,30.0,30.0,0.15,0.38,0
M00006,V0087,T0148,0.5,0.62,40,13.24,0.735,0.28,4,0.8,1.0,0.78,0.78,4,4.9,113.1,0.113,12.0,12.0,0.06,0.669,1
M00007,V0133,T0055,0.5,0.62,30,24.12,0.518,0.48,2,0.4,1.0,0.86,0.86,4,4.9,291.9,0.292,40.0,40.0,0.2,0.62,1
M00008,V0342,T0143,0.0,0.43,40,30.2,0.396,0.92,2,0.4,1.0,0.95,0.95,4,3.6,271.6,0.272,50.0,50.0,0.25,0.372,0
M00009,V0106,T0283,0.0,0.7,10,30.12,0.398,0.9,3,0.6,1.0,0.97,0.97,5,4.6,187.5,0.188,32.0,32.0,0.16,0.499,0
M00010,V0387,T0087,0.25,0.89,40,26.39,0.472,0.3,2,0.4,1.0,0.56,0.56,5,3.6,32.5,0.033,24.0,24.0,0.12,0.448,0
M00011,V0463,T0021,0.25,0.73,5,32.69,0.346,0.62,1,0.2,0.5,0.78,0.78,4,3.6,417.3,0.417,60.0,60.0,0.3,0.468,0
M00012,V0277,T0276,1.0,0.96,40,21.39,0.572,0.4,5,1.0,1.0,0.96,0.96,1,3.7,462.2,0.462,40.0,40.0,0.2,0.894,1
M00013,V0004,T0251,0.0,0.92,25,13.09,0.738,0.1,4,0.8,1.0,0.89,0.89,1,3.8,34.8,0.035,24.0,24.0,0.12,0.521,0
M00014,V0014,T0190,0.0,0.48,25,1.02,0.98,0.4,1,0.2,1.0,0.7,0.7,3,3.7,121.5,0.121,6.0,6.0,0.03,0.382,0
M00015,V0483,T0293,0.25,0.92,15,11.63,0.767,0.1,3,0.6,1.0,0.66,0.66,3,4.0,82.1,0.082,32.0,32.0,0.16,0.542,0
M00016,V0228,T0267,0.0,0.97,40,2.83,0.943,0.38,1,0.2,1.0,0.98,0.98,4,3.8,324.6,0.325,80.0,80.0,0.4,0.467,0
M00017,V0233,T0152,0.333,0.84,25,9.91,0.802,0.9,3,0.6,1.0,0.95,0.95,5,4.9,169.0,0.169,4.0,4.0,0.02,0.698,0
M00018,V0367,T0062,0.25,0.82,15,2.17,0.957,0.42,1,0.2,1.0,0.69,0.69,5,5.0,327.4,0.327,12.0,12.0,0.06,0.538,0
M00019,V0222,T0253,0.25,0.52,40,10.39,0.792,0.7,4,0.8,1.0,0.9,0.9,5,4.4,315.4,0.315,5.0,5.0,0.025,0.547,0
M00020,V0443,T0071,0.333,0.48,40,10.82,0.784,0.42,3,0.6,1.0,0.61,0.61,1,4.1,209.1,0.209,12.0,12.0,0.06,0.585,0
M00021,V0375,T0060,0.0,0.91,20,21.12,0.578,0.84,2,0.4,1.0,0.7,0.7,2,3.8,81.9,0.082,6.0,6.0,0.03,0.528,0
M00022,V0412,T0041,0.5,0.51,25,28.99,0.42,0.28,4,0.8,1.0,0.86,0.86,1,4.2,249.1,0.249,5.0,5.0,0.025,0.584,0
M00023,V0114,T0039,0.333,0.88,30,24.23,0.515,0.9,3,0.6,1.0,0.59,0.59,1,4.2,215.3,0.215,4.0,4.0,0.02,0.583,0
M00024,V0260,T0172,0.5,0.48,20,16.35,0.673,0.1,4,0.8,1.0,0.96,0.96,2,3.6,94.2,0.094,32.0,32.0,0.16,0.569,1
M00025,V0323,T0263,0.0,0.45,30,16.99,0.66,0.22,2,0.4,1.0,0.98,0.98,3,3.5,3.3,0.003,8.0,8.0,0.04,0.397,0
M00026,V0038,T0162,0.5,0.63,40,16.3,0.674,0.32,2,0.4,1.0,0.8,0.8,3,4.9,373.8,0.374,24.0,24.0,0.12,0.617,1
M00027,V0020,T0222,0.5,0.54,20,36.83,0.263,0.16,5,1.0,1.0,0.96,0.96,2,4.2,322.8,0.323,16.0,16.0,0.08,0.514,0
M00028,V0362,T0267,0.0,0.69,30,7.28,0.854,0.3,1,0.2,1.0,0.75,0.75,4,3.8,199.6,0.2,80.0,80.0,0.4,0.415,0
M00029,V0431,T0286,0.0,0.98,5,23.29,0.534,0.58,3,0.6,0.5,0.52,0.52,5,3.9,28.0,0.028,30.0,30.0,0.15,0.444,0
M00030,V0450,T0019,0.0,0.84,40,34.31,0.314,0.12,4,0.8,1.0,0.61,0.61,2,4.2,104.9,0.105,60.0,60.0,0.3,0.452,0
M00031,V0322,T0005,0.0,0.95,20,33.15,0.337,0.76,2,0.4,1.0,0.63,0.63,2,4.7,117.4,0.117,24.0,24.0,0.12,0.418,0
M00032,V0301,T0193,0.0,0.92,10,24.18,0.516,0.1,1,0.2,1.0,0.61,0.61,5,4.2,241.8,0.242,32.0,32.0,0.16,0.414,0
M00033,V0113,T0101,0.0,0.92,15,14.3,0.714,0.86,4,0.8,1.0,0.7,0.7,2,3.6,399.7,0.4,24.0,24.0,0.12,0.517,0
M00034,V0078,T0249,0.333,0.67,10,30.5,0.39,0.54,1,0.2,1.0,0.77,0.77,3,3.6,49.7,0.05,16.0,16.0,0.08,0.522,0
M00035,V0376,T0255,0.0,0.99,40,31.98,0.36,0.38,3,0.6,1.0,0.94,0.94,3,3.7,343.9,0.344,40.0,40.0,0.2,0.426,0
M00036,V0102,T0046,0.0,0.84,25,7.2,0.856,0.16,4,0.8,1.0,0.57,0.57,4,4.3,168.4,0.168,50.0,50.0,0.25,0.531,0
M00037,V0439,T0110,0.333,0.68,10,41.09,0.178,0.16,4,0.8,1.0,0.68,0.68,5,4.6,461.3,0.461,20.0,20.0,0.1,0.417,0
M00038,V0035,T0252,0.25,0.99,25,31.09,0.378,0.1,3,0.6,1.0,0.86,0.86,3,3.6,445.7,0.446,8.0,8.0,0.04,0.5,0
M00039,V0107,T0092,0.0,0.9,40,36.94,0.261,0.4,4,0.8,1.0,0.54,0.54,3,3.8,224.3,0.224,37.5,37.5,0.188,0.378,0
M00040,V0353,T0135,0.0,0.42,5,18.0,0.64,0.62,4,0.8,0.5,0.76,0.76,4,3.6,39.0,0.039,30.0,30.0,0.15,0.407,0
M00041,V0324,T0299,0.0,0.71,20,15.64,0.687,0.1,5,1.0,1.0,0.9,0.9,4,4.3,288.3,0.288,37.5,37.5,0.188,0.439,0
M00042,V0179,T0248,0.0,0.94,25,14.09,0.718,0.2,2,0.4,1.0,0.62,0.62,2,3.9,457.2,0.457,60.0,60.0,0.3,0.444,0
M00043,V0489,T0093,0.25,0.97,30,44.75,0.105,0.26,2,0.4,1.0,0.53,0.53,5,4.9,47.4,0.047,15.0,15.0,0.075,0.481,0
M00044,V0431,T0119,0.0,0.98,5,18.06,0.639,0.58,4,0.8,1.0,0.52,0.52,1,3.6,28.0,0.028,4.0,4.0,0.02,0.544,0
M00045,V0343,T0249,0.333,1.0,10,24.9,0.502,0.1,1,0.2,1.0,0.99,0.99,3,3.6,385.5,0.386,16.0,16.0,0.08,0.513,0
M00046,V0323,T0201,0.0,0.45,30,14.3,0.714,0.22,4,0.8,1.0,0.98,0.98,4,4.5,3.3,0.003,15.0,15.0,0.075,0.439,0
M00047,V0279,T0247,0.25,0.92,30,31.05,0.379,0.3,4,0.8,1.0,0.81,0.81,2,4.2,316.3,0.316,12.0,12.0,0.06,0.506,0
M00048,V0113,T0058,0.0,0.92,15,23.6,0.528,0.86,3,0.6,1.0,0.7,0.7,2,4.5,399.7,0.4,30.0,30.0,0.15,0.54,0
M00049,V0460,T0148,0.5,0.8,20,29.86,0.403,0.1,4,0.8,1.0,0.69,0.69,4,4.9,426.9,0.427,12.0,12.0,0.06,0.562,0
M00050,V0229,T0167,1.0,0.48,30,14.9,0.702,0.12,5,1.0,1.0,1.0,1.0,5,3.7,474.3,0.474,16.0,16.0,0.08,0.754,1
M00051,V0218,T0060,0.333,0.42,20,23.43,0.531,0.44,2,0.4,1.0,0.55,0.55,2,3.8,278.0,0.278,6.0,6.0,0.03,0.432,0
M00052,V0490,T0164,0.25,0.72,10,30.56,0.389,0.5,2,0.4,0.5,0.84,0.84,4,4.0,125.6,0.126,45.0,45.0,0.225,0.459,0
M00053,V0178,T0204,0.0,0.55,10,13.57,0.729,0.46,4,0.8,0.5,1.0,1.0,4,4.3,394.5,0.395,30.0,30.0,0.15,0.434,0
M00054,V0397,T0248,0.0,0.63,40,14.92,0.702,0.86,2,0.4,1.0,0.84,0.84,2,3.9,2.1,0.002,60.0,60.0,0.3,0.517,0
M00055,V0443,T0251,0.0,0.48,40,7.57,0.849,0.42,4,0.8,1.0,0.61,0.61,1,3.8,209.1,0.209,24.0,24.0,0.12,0.462,0
M00056,V0352,T0121,0.5,0.96,10,2.48,0.95,0.38,3,0.6,0.5,0.73,0.73,1,4.6,464.2,0.464,80.0,80.0,0.4,0.605,0
M00057,V0138,T0260,0.5,0.88,15,25.93,0.481,0.64,4,0.8,1.0,0.96,0.96,1,3.5,477.7,0.478,16.0,16.0,0.08,0.632,0
M00058,V0436,T0210,0.0,0.4,10,12.51,0.75,0.9,4,0.8,1.0,0.64,0.64,2,4.1,353.4,0.353,8.0,8.0,0.04,0.422,0
M00059,V0396,T0166,0.0,0.7,10,34.37,0.313,0.4,2,0.4,1.0,0.89,0.89,5,4.2,366.2,0.366,8.0,8.0,0.04,0.344,0
M00060,V0163,T0211,0.0,0.82,5,25.55,0.489,0.36,3,0.6,0.5,0.82,0.82,2,3.5,228.0,0.228,30.0,30.0,0.15,0.373,0
M00061,V0227,T0218,0.5,0.82,10,17.5,0.65,0.86,5,1.0,1.0,0.98,0.98,3,3.7,423.2,0.423,4.0,4.0,0.02,0.709,1
M00062,V0468,T0028,0.25,0.91,40,10.52,0.79,0.66,5,1.0,1.0,0.55,0.55,3,4.9,342.7,0.343,40.0,40.0,0.2,0.612,0
M00063,V0373,T0113,0.0,0.42,15,4.57,0.909,0.48,1,0.2,1.0,0.87,0.87,1,4.9,480.6,0.481,60.0,60.0,0.3,0.395,0
M00064,V0420,T0024,0.0,0.96,20,0.57,0.989,0.14,2,0.4,1.0,0.98,0.98,4,3.6,157.8,0.158,10.0,10.0,0.05,0.474,0
M00065,V0210,T0114,0.0,0.95,15,33.92,0.322,0.92,2,0.4,1.0,0.84,0.84,1,4.3,285.8,0.286,4.0,4.0,0.02,0.464,0
